,ID,Name,Gene Name,Species,Drug IDs
28,47,Solute carrier family 12 member 5,SLC12A5,Humans,DB00887
29,48,Prothrombin,F2,Humans,DB00001; DB00006; DB00278; DB04898; DB05777; DB06695; DB09109; DB09228; DB11166; DB13151; DB14738
30,49,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,Humans,DB00895
31,50,Delta-aminolevulinic acid dehydratase,ALAD,Humans,DB00855
32,51,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,Humans,DB01108
34,59,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,Humans,DB01108
35,61,Cannabinoid receptor 1,CNR1,Humans,DB00470; DB00486; DB06155; DB09061
36,62,Type-1 angiotensin II receptor,AGTR1,Humans,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB08822
37,64,Prostaglandin E2 receptor EP1 subtype,PTGER1,Humans,DB00429; DB00770; DB00905; DB00917; DB00929; DB01088
38,66,B-lymphocyte antigen CD20,MS4A1,Humans,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11850; DB11988; DB15434
39,67,"Nitric oxide synthase, brain",NOS1,Humans,DB01221; DB09241
40,68,L-lactate dehydrogenase B chain,LDHB,Humans,DB09118
41,69,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,Humans,DB00795
42,70,Group 10 secretory phospholipase A2,PLA2G10,Humans,DB13893; DB13894
43,71,Peroxisome proliferator-activated receptor alpha,PPARA,Humans,DB00636; DB01039; DB01241; DB01393; DB03756; DB09422; DB13873
44,75,Growth hormone receptor,GHR,Humans,DB00052; DB00082; DB09098; DB16220
45,77,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,Humans,DB01033
46,78,Retinoic acid receptor RXR-beta,RXRB,Humans,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB03756
47,80,Tryptophan 5-hydroxylase 2,TPH2,Humans,DB12095
48,82,Creatine kinase B-type,CKB,Humans,DB00148
49,83,CAMPATH-1 antigen,CD52,Humans,DB00087
50,84,5-hydroxytryptamine receptor 4,HTR4,Humans,DB00604; DB01079; DB01233; DB06480
51,85,Ferritin light chain,FTL,Humans,DB00893; DB09517; DB13995
52,90,Potassium voltage-gated channel subfamily H member 2,KCNH2,Humans,DB00204; DB00252; DB00308; DB00489; DB01100; DB01182; DB01218; DB04855
53,91,"DNA topoisomerase I, mitochondrial",TOP1MT,Humans,DB00762
54,92,Muscarinic acetylcholine receptor M1,CHRM1,Humans,DB00185; DB00219; DB00245; DB00332; DB00354; DB00376; DB00383; DB00387; DB00392; DB00411; DB00424; DB00462; DB00508; DB00517; DB00572; DB00670; DB00725; DB00747; DB00771; DB00782; DB00804; DB00809; DB00810; DB00942; DB00979; DB00986; DB01036; DB01062; DB01085; DB01148; DB01231; DB01233; DB04843; DB08897; DB09089; DB09167; DB11181; DB12278
55,95,Cannabinoid receptor 2,CNR2,Humans,DB00470; DB00486
56,99,Cysteinyl leukotriene receptor 2,CYSLTR2,Humans,DB00716
58,105,Sterol O-acyltransferase 1,SOAT1,Humans,DB00973
59,110,P2Y purinoceptor 12,P2RY12,Humans,DB00208; DB00758; DB01240; DB06209; DB06441; DB08816
60,112,Histamine H2 receptor,HRH2,Humans,DB00272; DB00501; DB00585; DB00751; DB00863; DB00927; DB00940; DB01142; DB05381
61,113,DNA polymerase beta,POLB,Humans,DB00987
63,117,Prostacyclin synthase,PTGIS,Humans,DB00812; DB01240
64,118,Synaptic vesicular amine transporter,SLC18A2,Humans,DB00182; DB00206; DB00865; DB01089; DB01576; DB01577; DB04844; DB06706; DB06714; DB12161
65,119,ATP-binding cassette sub-family A member 1,ABCA1,Humans,DB01599
66,121,Tryptophan 5-hydroxylase 1,TPH1,Humans,DB00360; DB12095
68,123,Estrogen receptor,ESR1,Humans,DB00255; DB00286; DB00304; DB00367; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01108; DB01185; DB01196; DB01357; DB01406; DB04573; DB04574; DB04575; DB04938; DB06202; DB06401; DB09070; DB09317; DB09318; DB09369; DB13952; DB13953; DB13954; DB13955; DB13956
70,130,Hemoglobin subunit alpha,HBA1,Humans,DB00893; DB06154; DB09112; DB13257; DB13995; DB14975
71,132,Androgen receptor,AR,Humans,DB00499; DB00621; DB00624; DB00665; DB00984; DB01128; DB01185; DB01395; DB01406; DB01420; DB04839; DB06412; DB06710; DB06718; DB08804; DB08899; DB09123; DB11901; DB12499; DB12941; DB13943; DB13944; DB13946
72,133,"Aldehyde dehydrogenase, mitochondrial",ALDH2,Humans,DB00536; DB00822
73,134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans,DB00014; DB00032; DB00044; DB00097; DB06719; DB09126
74,136,Cationic amino acid transporter 3,SLC7A3,Humans,DB13146
75,138,Dopamine beta-hydroxylase,DBH,Humans,DB00822; DB00988
76,141,Sodium channel protein type 1 subunit alpha,SCN1A,Humans,DB00252; DB00909; DB01121; DB01438; DB04930
78,143,Tubulin beta chain,TUBB,Humans,DB00361; DB00541; DB00570; DB01179; DB01394; DB06137; DB11641
79,144,Retinoic acid receptor gamma,RARG,Humans,DB00210; DB00459; DB00523; DB00755; DB00799; DB05467; DB12808
80,145,D(1B) dopamine receptor,DRD5,Humans,DB00800; DB00988; DB01186; DB01235; DB01624
81,146,Histamine H4 receptor,HRH4,Humans,DB01620
82,147,Receptor-type tyrosine-protein kinase FLT3,FLT3,Humans,DB00398; DB01268; DB06595; DB11697; DB12141; DB12500
83,155,Toll-like receptor 7,TLR7,Humans,DB00724; DB01611
84,156,Sigma non-opioid intracellular receptor 1,SIGMAR1,Humans,DB00514; DB00574; DB00652; DB11186
85,157,Thiamin pyrophosphokinase 1,TPK1,Humans,DB00152
86,162,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,Humans,DB09092
87,163,Vascular endothelial growth factor A,VEGFA,Humans,DB00112; DB01270; DB04895; DB06779; DB08885; DB10772; DB14864; DB15303
88,165,Vasopressin V1a receptor,AVPR1A,Humans,DB00035; DB00067; DB00872; DB02638; DB14642
89,171,"Creatine kinase U-type, mitochondrial",CKMT1A,Humans,DB00148
90,172,Beta-1 adrenergic receptor,ADRB1,Humans,DB00187; DB00195; DB00221; DB00264; DB00335; DB00368; DB00373; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00841; DB00960; DB01064; DB01102; DB01136; DB01193; DB01203; DB01210; DB01214; DB01297; DB01359; DB01364; DB01580; DB04846; DB04861; DB06262; DB09351; DB11124; DB11278; DB13781
91,176,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,Humans,DB09270
92,177,Sodium channel protein type 10 subunit alpha,SCN10A,Humans,DB00281; DB00296; DB00297; DB00527; DB00645; DB00721; DB00807; DB00892; DB00961; DB01002; DB01086
93,179,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,Humans,DB01074
94,182,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,Humans,DB00203; DB00277; DB00820; DB00862; DB00975; DB06237; DB06267
95,183,B-cell receptor CD22,CD22,Humans,DB05889; DB12688
96,185,Glutathione synthetase,GSS,Humans,DB06151
98,190,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,Humans,DB00384; DB00594
99,192,Sodium channel protein type 11 subunit alpha,SCN11A,Humans,DB00909
100,193,Aldehyde dehydrogenase family 3 member B2,ALDH3B2,Humans,DB09116
101,197,Sodium channel protein type 5 subunit alpha,SCN5A,Humans,DB00192; DB00252; DB00280; DB00281; DB00379; DB00473; DB00527; DB00532; DB00680; DB00740; DB00750; DB00754; DB00908; DB00909; DB01056; DB01182; DB01195; DB01228; DB01320; DB01346; DB01426; DB04855; DB06217
102,203,Gonadotropin-releasing hormone receptor,GNRHR,Humans,DB00007; DB00014; DB00050; DB00106; DB00644; DB00666; DB01406; DB06699; DB06719; DB06785; DB06788; DB06825; DB11853; DB17083
103,205,Platelet-derived growth factor receptor beta,PDGFRB,Humans,DB00102; DB00398; DB00619; DB01268; DB06589; DB06595; DB08896; DB09079; DB11800; DB14840
104,206,Retinoic acid receptor beta,RARB,Humans,DB00210; DB00459; DB00523; DB00799
105,207,ATP-binding cassette sub-family C member 8,ABCC8,Humans,DB00222; DB00672; DB00731; DB00912; DB01067; DB01120; DB01124; DB01251
106,210,Potassium channel subfamily K member 2,KCNK2,Humans,DB00204; DB04855
107,211,Plasminogen,PLG,Humans,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513
108,215,Peroxisome proliferator-activated receptor gamma,PPARG,Humans,DB00159; DB00197; DB00244; DB00412; DB00966; DB01014; DB01132; DB01393; DB03756; DB11133
109,216,Coagulation factor X,F10,Humans,DB00025; DB00100; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075; DB09109; DB09258; DB11166; DB12364; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738
110,217,Gamma-aminobutyric acid type B receptor subunit 1,GABBR1,Humans,DB00659; DB01956
111,218,Calcium-transporting ATPase type 2C member 1,ATP2C1,Humans,DB00753
112,221,Angiotensin-converting enzyme,ACE,Humans,DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB01180; DB01197; DB01340; DB01348; DB09477; DB13166
113,227,Alcohol dehydrogenase 1A,ADH1A,Humans,DB01213
114,229,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,Humans,DB00606
115,232,Microsomal triglyceride transfer protein large subunit,MTTP,Humans,DB08827
117,236,Neutral amino acid transporter B(0),SLC1A5,Humans,DB13146
118,239,Lipoprotein lipase,LPL,Humans,DB06439; DB09568; DB13751
119,240,Plasminogen activator inhibitor 1,SERPINE1,Humans,DB00013
120,241,Adenosine receptor A2b,ADORA2B,Humans,DB00201; DB00277; DB00640; DB00824
121,246,Apoptosis regulator Bcl-2,BCL2,Humans,DB01229; DB01367; DB11581
122,247,Muscarinic acetylcholine receptor M5,CHRM5,Humans,DB00572; DB00725; DB00747; DB01036; DB08897; DB09167; DB11181; DB12278
123,248,Arachidonate 5-lipoxygenase,ALOX5,Humans,DB00179; DB00244; DB00711; DB00744; DB00795; DB00939; DB01014
124,249,Sodium- and chloride-dependent GABA transporter 1,SLC6A1,Humans,DB00906
125,250,Purine nucleoside phosphorylase,PNP,Humans,DB00242
126,252,Tyrosinase,TYR,Humans,DB00548; DB09526; DB11217
127,253,"4-aminobutyrate aminotransferase, mitochondrial",ABAT,Humans,DB01080
128,254,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,Humans,DB00331
130,262,Prostaglandin G/H synthase 2,PTGS2,Humans,DB00159; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00482; DB00500; DB00533; DB00554; DB00573; DB00580; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01399; DB01600; DB01628; DB04743; DB06725; DB06736; DB08439; DB08910; DB09212; DB09213; DB09216; DB11079; DB11201; DB11323; DB13167; DB13346; DB13783; DB13961
131,263,"Nitric oxide synthase, endothelial",NOS3,Humans,DB00360
132,266,Neprilysin,MME,Humans,DB09292
133,267,Carbonic anhydrase 1,CA1,Humans,DB00310; DB00703; DB00819; DB00869; DB00880; DB01031; DB01119; DB01144; DB01325; DB09472
134,270,Renin,REN,Humans,DB09026
135,274,T-cell surface glycoprotein CD3 epsilon chain,CD3E,Humans,DB00075; DB06606; DB06607; DB15434
137,280,Antithrombin-III,SERPINC1,Humans,DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813
138,281,Solute carrier family 12 member 2,SLC12A2,Humans,DB00214; DB00887; DB01325
140,289,Alpha-2A adrenergic receptor,ADRA2A,Humans,DB00368; DB00370; DB00449; DB00484; DB00575; DB00629; DB00633; DB00668; DB00692; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01392; DB01577; DB01608; DB04855; DB04948; DB06262; DB06694; DB06711; DB09242; DB11124; DB11278
141,291,5-hydroxytryptamine receptor 1A,HTR1A,Humans,DB00246; DB00247; DB00477; DB00490; DB00656; DB00669; DB00952; DB01149; DB01359; DB01616; DB01621; DB04908; DB09068; DB09128; DB09167; DB14185
142,293,Vasopressin V2 receptor,AVPR2,Humans,DB00035; DB00067; DB00872; DB02638; DB06212; DB14642
143,296,Prostaglandin D2 receptor,PTGDR,Humans,DB00374
146,303,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1,Humans,DB00308; DB00393; DB04855
148,311,5-hydroxytryptamine receptor 3A,HTR3A,Humans,DB00377; DB00604; DB00721; DB00757; DB00889; DB00904; DB00969; DB01199; DB01221; DB01233; DB09068; DB11699
150,315,Thyroid hormone receptor beta,THRB,Humans,DB00279; DB00451; DB00509; DB01583
151,317,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,Humans,DB09568
152,318,Secretin receptor,SCTR,Humans,DB09532
153,322,Carbonic anhydrase 2,CA2,Humans,DB00273; DB00703; DB00819; DB00869; DB00880; DB01031; DB01119; DB01144; DB01194; DB01325; DB09472
154,324,Thymidylate synthase,TYMS,Humans,DB00293; DB00322; DB00432; DB00544; DB00563; DB00642; DB01101; DB09256; DB09327
155,325,Ribonucleoside-diphosphate reductase large subunit,RRM1,Humans,DB00242; DB00441; DB00631; DB01005; DB01073
156,327,Melatonin receptor type 1B,MTNR1B,Humans,DB00980; DB01065; DB06594; DB09071
157,329,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,Humans,DB13751
158,330,Dihydrofolate reductase,DHFR,Humans,DB00205; DB00563; DB00642; DB01131; DB01157; DB06813
160,333,Coagulation factor VII,F7,Humans,DB00100; DB13151; DB13152; DB13933
162,337,Transthyretin,TTR,Humans,DB11644
163,342,Alpha-2C adrenergic receptor,ADRA2C,Humans,DB00368; DB00484; DB00575; DB01392; DB01577; DB04855; DB06262; DB09128; DB11124
165,344,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,Humans,DB01026; DB05667; DB05812
166,345,Prolactin receptor,PRLR,Humans,DB00052; DB16220
167,349,Potassium-transporting ATPase alpha chain 1,ATP4A,Humans,DB00213; DB00338; DB00448; DB00736; DB01129; DB05351
168,354,Adenosine receptor A3,ADORA3,Humans,DB00201; DB00640; DB01223
169,356,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,CACNA1A,Humans,DB01244
170,358,Calcineurin subunit B type 1,PPP3R1,Humans,DB11693
171,359,ALK tyrosine kinase receptor,ALK,Humans,DB08865; DB09063; DB11363; DB12130; DB12141; DB12267
172,364,Coagulation factor IX,F9,Humans,DB00025; DB09109; DB13150; DB13192; DB13923; DB13998; DB13999; DB14738
173,365,"Glutamate receptor ionotropic, NMDA 1",GRIN1,Humans,DB01173
175,368,Prostaglandin E2 receptor EP2 subtype,PTGER2,Humans,DB00374; DB00770; DB00917; DB00929; DB15071
176,369,Vascular endothelial growth factor receptor 2,KDR,Humans,DB00398; DB01268; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB09078; DB09079; DB11800; DB14840
177,370,Riboflavin kinase,RFK,Humans,DB00140
178,375,Sodium- and chloride-dependent creatine transporter 1,SLC6A8,Humans,DB00148
179,377,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,Humans,DB09568
180,379,Calcium signal-modulating cyclophilin ligand,CAMLG,Humans,DB00091; DB11693
181,380,Vitamin K-dependent protein C,PROC,Humans,DB00464; DB13149
182,381,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,Humans,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB01198; DB01346; DB01351; DB01353
183,382,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,Humans,DB01097
184,384,Substance-P receptor,TACR1,Humans,DB00673; DB09048; DB09291; DB14019
185,385,Interferon alpha/beta receptor 2,IFNAR2,Humans,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB06152
186,387,Follicle-stimulating hormone receptor,FSHR,Humans,DB00032; DB00066; DB00094; DB00097; DB09066
187,389,D(4) dopamine receptor,DRD4,Humans,DB00413; DB00589; DB00714; DB00988; DB01186; DB01235; DB01267; DB04908; DB05271
188,390,Synaptosomal-associated protein 25,SNAP25,Humans,DB00083; DB16820
189,393,5-hydroxytryptamine receptor 2B,HTR2B,Humans,DB00247; DB00508; DB00805; DB01242; DB09185
190,394,Neutrophil elastase,ELANE,Humans,DB00058
191,396,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,Humans,DB01173
193,399,Ferritin heavy chain,FTH1,Humans,DB00893; DB13995
194,400,Alcohol dehydrogenase 1B,ADH1B,Humans,DB01213
195,402,Cholecystokinin receptor type A,CCKAR,Humans,DB00403
196,403,Vitamin K-dependent gamma-carboxylase,GGCX,Humans,DB00170; DB01022; DB01125
197,404,Ornithine decarboxylase,ODC1,Humans,DB06243
198,405,Muscarinic acetylcholine receptor M4,CHRM4,Humans,DB00387; DB00572; DB00725; DB00747; DB00809; DB00986; DB01036; DB08897; DB09089; DB09167; DB11181
199,406,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,Humans,DB01074
200,410,"Creatine kinase S-type, mitochondrial",CKMT2,Humans,DB00148
201,411,Neuronal acetylcholine receptor subunit alpha-10,CHRNA10,Humans,DB01090; DB01116
202,412,Retinoic acid receptor RXR-alpha,RXRA,Humans,DB00210; DB00307; DB00459; DB00523; DB03756
203,414,Glycine receptor subunit alpha-3,GLRA3,Humans,DB01956
204,415,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,Humans,DB00257
205,416,Interleukin-11 receptor subunit alpha,IL11RA,Humans,DB00038
206,417,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,Humans,DB00949; DB01956; DB06077
207,418,Calmodulin,CALM1,Humans,DB04841
208,419,Solute carrier family 12 member 3,SLC12A3,Humans,DB00436; DB00524; DB00562; DB00808; DB00880; DB00999; DB01021; DB01324; DB01325
209,420,Delta-type opioid receptor,OPRD1,Humans,DB00295; DB00318; DB00327; DB00333; DB00497; DB00611; DB00647; DB00704; DB00813; DB00844; DB00956; DB01183; DB06230; DB09272; DB11130; DB11691
210,422,Annexin A1,ANXA1,Humans,DB00591; DB00741; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
211,425,L-lactate dehydrogenase A chain,LDHA,Humans,DB09118
212,426,Acetylcholinesterase,ACHE,Humans,DB00382; DB00483; DB00545; DB00674; DB00677; DB00733; DB00805; DB00843; DB00944; DB00981; DB00989; DB01010; DB01122; DB01400
214,430,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,Humans,DB00270; DB00308; DB00343; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB01023; DB01054; DB01115; DB04855; DB06712; DB12278
215,431,Calcitonin receptor,CALCR,Humans,DB01278
216,433,Glycine receptor subunit alpha-1,GLRA1,Humans,DB00228; DB00753; DB00898; DB01028; DB01189; DB01236
217,436,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",PDE3A,Humans,DB00235; DB00261; DB00277; DB01166; DB01223; DB01303; DB01427; DB04880
218,439,Integrin alpha-IIb,ITGA2B,Humans,DB00054; DB00775
219,442,Histamine H1 receptor,HRH1,Humans,DB00283; DB00341; DB00342; DB00354; DB00366; DB00405; DB00427; DB00434; DB00455; DB00477; DB00557; DB00568; DB00637; DB00719; DB00737; DB00748; DB00751; DB00768; DB00777; DB00792; DB00835; DB00902; DB00912; DB00920; DB00950; DB00967; DB00972; DB00985; DB01069; DB01075; DB01084; DB01106; DB01114; DB01142; DB01146; DB01173; DB01176; DB01237; DB01239; DB01246; DB01619; DB01620; DB04837; DB04890; DB05381; DB06282; DB06691; DB06698; DB08799; DB08801; DB08936; DB09016; DB09167; DB09195; DB09488; DB09555; DB11235; DB11591; DB11614
220,451,5-hydroxytryptamine receptor 2A,HTR2A,Humans,DB00246; DB00247; DB00321; DB00334; DB00363; DB00370; DB00408; DB00434; DB00477; DB00540; DB00589; DB00604; DB00656; DB00679; DB00696; DB00734; DB00805; DB00875; DB00924; DB00933; DB01149; DB01151; DB01224; DB01238; DB01239; DB01242; DB01267; DB01621; DB04908; DB04946; DB05316; DB06077; DB06144; DB06216; DB06288; DB08815; DB09016; DB09128; DB09167; DB09195; DB09225; DB14185
221,452,Somatostatin receptor type 1,SSTR1,Humans,DB09099; DB13985; DB15494
222,453,Mast/stem cell growth factor receptor Kit,KIT,Humans,DB00398; DB00619; DB01268; DB06589; DB08896; DB09078; DB09103; DB11800; DB14840
223,455,4-hydroxyphenylpyruvate dioxygenase,HPD,Humans,DB00348
225,460,5-hydroxytryptamine receptor 1F,HTR1F,Humans,DB00216; DB00315; DB00320; DB00669; DB00952; DB00953; DB11732
227,464,Neurotensin receptor type 2,NTSR2,Humans,DB01106
228,465,Alcohol dehydrogenase 1C,ADH1C,Humans,DB01213
230,467,Interferon gamma receptor 2,IFNGR2,Humans,DB00033
232,469,ATP-binding cassette sub-family C member 9,ABCC9,Humans,DB09220
233,471,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,Humans,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB01198; DB01205; DB01351; DB01353
234,472,Putative gonadotropin-releasing hormone II receptor,GNRHR2,Humans,DB00644; DB00666; DB01406
236,475,Prostacyclin receptor,PTGIR,Humans,DB00374; DB01088; DB01240; DB11362
237,477,Ceramide glucosyltransferase,UGCG,Humans,DB00419; DB09039
238,478,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,Humans,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB01351; DB01353
239,483,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,Humans,DB00347; DB00568; DB00593; DB00909; DB04841; DB05246
240,486,Sodium-dependent noradrenaline transporter,SLC6A2,Humans,DB00191; DB00193; DB00226; DB00234; DB00285; DB00289; DB00321; DB00344; DB00458; DB00476; DB00540; DB00579; DB00726; DB00830; DB00852; DB00907; DB00934; DB00937; DB01105; DB01142; DB01149; DB01151; DB01156; DB01170; DB01173; DB01576; DB01577; DB01579; DB04840; DB04896; DB06204; DB06700; DB06701; DB08918; DB09167; DB09185; DB09225; DB13931; DB16629
241,487,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,Humans,DB00277; DB00651; DB00824; DB01113
243,490,Thyrotropin receptor,TSHR,Humans,DB00024
244,495,Amiloride-sensitive sodium channel subunit delta,SCNN1D,Humans,DB00594
245,497,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,Humans,DB00384; DB00594
247,501,Alpha-1A adrenergic receptor,ADRA1A,Humans,DB00211; DB00298; DB00346; DB00368; DB00388; DB00449; DB00450; DB00457; DB00477; DB00590; DB00610; DB00668; DB00679; DB00692; DB00696; DB00699; DB00706; DB00723; DB00797; DB00831; DB00852; DB00865; DB00925; DB00935; DB00964; DB01136; DB01162; DB01253; DB01364; DB01579; DB04855; DB06207; DB06262; DB06694; DB06706; DB06711; DB11124; DB12278
248,502,Solute carrier family 12 member 1,SLC12A1,Humans,DB00214; DB00310; DB00534; DB00695; DB00774; DB00887; DB00903; DB01325
249,503,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,Humans,DB01189
250,507,Thyroid peroxidase,TPO,Humans,DB00389; DB00550; DB00763
251,509,Extracellular calcium-sensing receptor,CASR,Humans,DB01012; DB11093; DB11348; DB12865; DB14481
252,511,Receptor tyrosine-protein kinase erbB-2,ERBB2,Humans,DB00072; DB01259; DB05773; DB06366; DB08916; DB11652; DB14967
254,515,Melatonin receptor type 1A,MTNR1A,Humans,DB00980; DB01065; DB06594; DB09071
255,516,Integrin alpha-L,ITGAL,Humans,DB00095; DB00098; DB11611
256,521,Endothelin-1 receptor,EDNRA,Humans,DB00559; DB06268; DB06403; DB08932
257,523,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,Humans,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB01198; DB01351; DB01353
258,526,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,Humans,DB00627
259,527,Glucagon receptor,GCGR,Humans,DB00040; DB15226
260,530,Serum albumin,ALB,Humans,DB13967
